price,bed_rooms,bath_rooms,sq_ft,lot_size,price_per_sq_ft,geo_distance_km,bed_to_bath_ratio,median_homeprice_byzip,Median_income,Population,percapitmedianzipprice
139900.0,2.0,1.0,1092.0,0.036,128.1135531135531,26.904712418816136,0.5,283500.0,68504.0392,4808.0,58.96422628951747
118900.0,3.0,2.0,1942.0,0.579,61.225540679711635,107.87913838679917,0.6666666666666666,439900.0,33667.6252,5950.0,73.9327731092437
284900.0,4.0,2.0,1832.0,0.304,155.5131004366812,19.432667912771667,0.5,260565.0,61710.511,41552.0,6.270817289179823
310000.0,3.0,2.0,1981.0,1.11,156.48662291771834,218.7131882337553,0.6666666666666666,315000.0,44005.1352,14423.0,21.84011648062123
325000.0,4.0,2.0,1967.0,0.179,165.2262328418912,16.97518512398726,0.5,495000.0,63165.0679,8142.0,60.79587324981577
195000.0,3.0,3.0,1830.0,0.291,106.55737704918033,5.167699684011777,1.0,195000.0,37011.0713,24959.0,7.812813013341881
149000.0,3.0,2.0,1760.0,0.304,84.6590909090909,89.58827826249475,0.6666666666666666,149000.0,39845.5225,1974.0,75.48125633232016
150000.0,3.0,2.0,1700.0,5.005,88.23529411764706,131.69893956012243,0.6666666666666666,150000.0,41462.4264,7565.0,19.828155981493722
175000.0,2.0,1.0,922.0,0.167,189.80477223427332,154.34433891158392,0.5,265990.0,31106.7308,17591.0,15.12080040930021
192500.0,2.0,1.0,1096.0,0.161,175.63868613138686,159.96011597273832,0.5,298000.0,32732.171,14056.0,21.200910643141718
319900.0,4.0,2.0,2189.0,0.17,146.1397898583828,17.085296221002395,0.5,303970.0,86655.9436,13373.0,22.730127869587974
160000.0,3.0,2.0,1760.0,0.304,90.9090909090909,167.0615688110645,0.6666666666666666,265000.0,64511.4215,47225.0,5.611434621492854
174900.0,3.0,1.0,1348.0,0.165,129.74777448071217,4.686654859022351,0.3333333333333333,292500.0,42814.233,14172.0,20.639288738357326
215000.0,3.0,2.0,1841.0,0.237,116.78435632808257,187.7669118475907,0.6666666666666666,314999.5,45028.1895,23194.0,13.581077002673105
135000.0,3.0,2.0,1760.0,0.304,76.70454545454545,199.89492405762243,0.6666666666666666,175000.0,47278.2781,14220.0,12.306610407876232
140000.0,3.0,2.0,1760.0,0.304,79.54545454545455,199.89492405762243,0.6666666666666666,175000.0,47278.2781,14220.0,12.306610407876232
250000.0,1.0,1.0,676.0,4.96,369.8224852071006,277.1976407534114,1.0,250000.0,37393.792,4023.0,62.142679592344024
137500.0,3.0,1.0,976.0,0.168,140.88114754098362,167.0615688110645,0.3333333333333333,265000.0,64511.4215,47225.0,5.611434621492854
299900.0,3.0,3.0,2289.0,0.069,131.0179117518567,15.898997760219626,1.0,249990.0,55587.9463,39817.0,6.278474018635256
315000.0,3.0,2.1,2014.0,0.304,156.4051638530288,174.61556313259152,0.7000000000000001,269900.0,67259.7541,22568.0,11.95941155618575
222815.0,4.0,2.0,1713.0,0.557,130.07297139521307,54.0160277335031,0.5,309450.0,42759.4269,17666.0,17.516698743348805
373900.0,4.0,3.0,1874.0,0.5,199.5197438633938,180.7027866419722,0.75,373900.0,61300.4192,12114.0,30.865114743272247
175000.0,3.0,2.0,1463.0,0.03,119.61722488038278,268.15160513674596,0.6666666666666666,324450.0,39462.982,10703.0,30.313930673642904
190000.0,3.0,3.0,1621.0,0.363,117.21159777914868,198.88031323753182,1.0,199331.0,40448.9465,29701.0,6.7112555132823815
297500.0,4.0,2.0,2029.0,1.08,146.62395268605223,63.14922005834883,0.5,294750.0,38586.834,6957.0,42.36739974126779
157000.0,3.0,2.0,1550.0,0.358,101.29032258064517,22.394907687726125,0.6666666666666666,300000.0,62706.6275,17526.0,17.117425539198905
450000.0,2.0,1.0,800.0,40.0,562.5,239.05064112891827,0.5,450000.0,28578.0,295.0,1525.4237288135594
